1;arms_factory;4851.00;9.95;1947.00;5.81;0
1;arms_factory;4801.00;10.62;1967.00;2.54;0
1;arms_factory;4724.00;9.88;1959.00;5.21;0
1;arms_factory;4744.00;10.20;1981.00;1.59;0
1;arms_factory;4742.00;9.98;1988.00;4.25;0
1;arms_factory;4757.00;10.10;1996.00;0.99;0
1;industrial_complex;4705.00;10.12;1943.00;3.66;0
1;industrial_complex;4703.00;9.93;1947.00;0.04;0
1;industrial_complex;4810.00;11.23;1939.00;2.70;0
1;industrial_complex;4799.00;11.38;1943.00;5.72;0
1;industrial_complex;4795.00;10.80;1966.00;0.64;0
1;industrial_complex;4835.00;10.25;1953.00;4.76;0
1;air_base;4779.00;11.25;1961.00;2.61;0
1;supply_node;4828.00;10.00;1966.00;5.28;0
1;supply_node;4778.00;11.15;1949.00;1.59;0
1;supply_node;4778.00;10.20;1992.00;4.52;0
1;supply_node;4730.00;10.10;1950.00;6.00;0
1;supply_node;4801.00;10.18;1986.00;3.76;0
1;supply_node;4848.00;10.00;1947.00;0.41;0
1;supply_node;4756.00;10.28;1989.00;1.89;0
1;supply_node;4737.00;10.10;1974.00;5.93;0
1;supply_node;4810.00;10.88;1960.00;1.13;0
1;supply_node;4799.00;11.32;1946.00;4.07;0
1;supply_node;4707.00;10.18;1944.00;0.72;0
1;supply_node;4830.00;10.53;1944.00;3.30;0
1;supply_node;4775.00;11.10;1972.00;6.24;0
1;supply_node;4793.00;10.78;1971.00;1.43;0
1;supply_node;4754.00;10.57;1965.00;5.47;0
1;supply_node;4757.00;10.75;1950.00;2.12;0
1;supply_node;4695.00;10.32;1931.00;3.61;0
1;bunker;4783.00;11.00;1972.00;3.89;0
1;bunker;4838.00;10.20;1954.00;1.73;0
1;bunker;4736.00;10.00;1980.00;4.40;0
1;bunker;4778.00;11.12;1947.00;0.78;0
1;bunker;4806.00;10.88;1959.00;2.34;0
1;bunker;4716.00;10.18;1947.00;0.18;0
1;bunker;4749.00;10.23;1985.00;2.84;0
1;bunker;4744.00;10.20;1951.00;5.50;0
1;bunker;4760.00;10.70;1967.00;2.24;0
1;bunker;4797.00;10.65;1977.00;3.45;0
1;bunker;4834.00;9.95;1966.00;1.29;0
1;bunker;4844.00;10.05;1953.00;2.85;0
1;bunker;4789.00;11.10;1955.00;5.51;0
1;bunker;4769.00;9.85;2000.00;1.90;0
1;bunker;4802.00;10.35;1980.00;6.02;0
1;bunker;4756.00;10.68;1943.00;6.12;0
1;bunker;4702.00;10.57;1925.00;3.96;0
1;anti_air_building;4774.00;10.60;1983.00;2.92;0
1;anti_air_building;4829.00;10.18;1959.00;5.58;0
1;anti_air_building;4832.00;10.10;1963.00;1.96;0
1;synthetic_refinery;4745.00;10.18;1954.00;4.98;0
1;fuel_silo;4728.00;10.15;1947.00;6.19;0
1;radar_station;4769.00;10.98;1963.00;4.52;0
1;rocket_site;4787.00;10.48;1984.00;0.41;0
1;nuclear_reactor;4782.00;10.35;1989.00;1.97;0
2;arms_factory;4875.00;10.18;1929.00;5.21;0
2;arms_factory;4915.00;12.25;1881.00;1.59;0
2;arms_factory;4892.00;10.85;1914.00;4.25;0
2;arms_factory;4945.00;10.48;1930.00;0.99;0
2;arms_factory;4896.00;9.90;1935.00;3.66;0
2;arms_factory;4906.00;10.75;1920.00;0.04;0
2;industrial_complex;4896.00;11.50;1894.00;2.70;0
2;industrial_complex;4921.00;12.20;1873.00;5.72;0
2;industrial_complex;4876.00;10.30;1919.00;0.64;0
2;industrial_complex;4961.00;10.80;1919.00;4.76;0
